Round,North,South,East,West,Credits,Totems
1,zombie_1,zombie_1,zombie_1,zombie_1,4,
2,skeleton_1,skeleton_1,2 zombie_1,2 zombie_1,6,
3,"zombie_1
skeleton_1","zombie_1
skeleton_1",spider_1,spider_1,6,
4,creeper_1,creeper_1,"2 zombie_1
1 skeleton_1","2 zombie_1
1 skeleton_1",8,
5,"2 zombie_1
2 spider_1","2 zombie_1
2 spider_1","2 creeper_1
2 skeleton_1","2 creeper_1
2 skeleton_1",16,
6,"bee_1
husk_1","bee_1
husk_1",2 husk_1,2 husk_1,8,
7,"stray_1
2 spider_1","stray_1
2 spider_1","3 zombie_1
2 skeleton_1","3 zombie_1
2 skeleton_1",16,
8,"spider_jockey_1
skeleton_1","spider_jockey_1
skeleton_1","spider_jockey_1
skeleton_1","spider_jockey_1
skeleton_1",12,
9,"witch_1
2 skeleton_1","witch_1
2 skeleton_1","witch_1
2 creeper_1","witch_1
2 creeper_1",12,
10,"2 bee_1
stray_1
husk_1
witch_1","2 bee_1
stray_1
husk_1
witch_1","2 bee_1
stray_1
husk_1
witch_1","2 bee_1
stray_1
husk_1
witch_1",20,
11,"2 baby_zombie_1
2 zombie_1","2 baby_zombie_1
2 zombie_1","2 baby_zombie_1
2 zombie_1","2 baby_zombie_1
2 zombie_1",8,
12,"cave_spider_1
2 baby_husk_1","cave_spider_1
2 baby_husk_1","cave_spider_1
2 baby_husk_1","cave_spider_1
2 baby_husk_1",12,
13,"slime_1
vex_1","slime_1
vex_1","slime_1
vex_1","slime_1
vex_1",20,
14,"2 chicken_jockey_1
2 drowned_1","2 chicken_jockey_1
2 drowned_1","2 chicken_jockey_1
2 drowned_1","2 chicken_jockey_1
2 drowned_1",16,
15,"baby_zombie_1
cave_spider_1
baby_husk_1
slime_2
vex_1
drowned_1","baby_zombie_1
cave_spider_1
baby_husk_1
slime_2
vex_1
drowned_1","baby_zombie_1
cave_spider_1
baby_husk_1
vex_1
drowned_1","baby_zombie_1
cave_spider_1
baby_husk_1
vex_1
drowned_1",46,
16,"2 vindicator_1
2 pillager_1","2 vindicator_1
2 pillager_1","2 vindicator_1
2 pillager_1","2 vindicator_1
2 pillager_1",16,
17,"2 phantom_1
2 skeleton_1","2 phantom_1
2 skeleton_1","2 phantom_1
2 skeleton_1","2 phantom_1
2 skeleton_1",16,
18,"2 bee_1
stray_1
husk_1
3 zombie_1","2 bee_1
stray_1
husk_1
3 zombie_1","2 bee_1
stray_1
husk_1
3 zombie_1","2 bee_1
stray_1
husk_1
3 zombie_1",28,
19,"2 cave_spider_1
2 baby_zombie_1
2 vex_1","2 cave_spider_1
2 baby_zombie_1
2 vex_1","2 cave_spider_1
2 baby_zombie_1
2 vex_1","2 cave_spider_1
2 baby_zombie_1
2 vex_1",24,
20,"slime_2
3 bee_1
2 skeleton_1
phantom_1","slime_2
3 bee_1
2 skeleton_1
phantom_1","slime_2
3 vex_1
2 witch_1
cave_spider_1","slime_2
3 vex_1
2 witch_1
cave_spider_1",76,
21,"blaze_1
magma_cube_1","blaze_1
magma_cube_1","blaze_1
magma_cube_1","blaze_1
magma_cube_1",8,
22,"2 wither_skeleton_1
hoglin_1","2 wither_skeleton_1
hoglin_1","2 piglin_1
zoglin_1","2 piglin_1
zoglin_1",12,
23,"4 zombified_piglin_1
piglin_brute_1","4 zombified_piglin_1
piglin_brute_1",4 zombified_piglin_1,4 zombified_piglin_1,18,
